"appln_id","year","Latitude","Longitude","county","state"
379857699,2012,44.4759,-73.2121,"CHITTENDEN","VT"
379858383,2012,44.4759,-73.2121,"CHITTENDEN","VT"
379859837,2012,44.197,-72.5021,"WASHINGTON","VT"
379968762,2012,44.7054,-73.0107,"FRANKLIN","VT"
380226277,2012,44.4759,-73.2121,"CHITTENDEN","VT"
380227855,2012,44.4759,-73.2121,"CHITTENDEN","VT"
380228160,2012,44.4759,-73.2121,"CHITTENDEN","VT"
380228161,2012,44.4759,-73.2121,"CHITTENDEN","VT"
380413839,2012,44.4759,-73.2121,"CHITTENDEN","VT"
380414118,2012,44.4759,-73.2121,"CHITTENDEN","VT"
380414737,2012,44.4759,-73.2121,"CHITTENDEN","VT"
380414763,2012,42.9304,-73.2426,"BENNINGTON","VT"
380414885,2012,43.649,-72.3193,"WINDSOR","VT"
380415233,2012,44.4759,-73.2121,"CHITTENDEN","VT"
380635672,2012,44.8107,-73.0836,"FRANKLIN","VT"
380635727,2012,42.9304,-73.2426,"BENNINGTON","VT"
380636233,2012,44.4759,-73.2121,"CHITTENDEN","VT"
380638601,2012,43.1004,-72.7784,"WINDHAM","VT"
380654105,2012,44.504,-72.9977,"CHITTENDEN","VT"
380770506,2012,44.4759,-73.2121,"CHITTENDEN","VT"
380771745,2012,44.4759,-73.2121,"CHITTENDEN","VT"
380824629,2012,43.7527,-72.3093,"WINDSOR","VT"
381054019,2012,43.1379,-72.5098,"WINDHAM","VT"
381080524,2012,44.197,-72.5021,"WASHINGTON","VT"
381080707,2012,44.4759,-73.2121,"CHITTENDEN","VT"
381081280,2012,44.4759,-73.2121,"CHITTENDEN","VT"
381251342,2012,43.3466,-73.1773,"RUTLAND","VT"
381252387,2012,44.4759,-73.2121,"CHITTENDEN","VT"
381442887,2012,44.2056,-73.2462,"ADDISON","VT"
381442887,2012,44.2056,-73.2462,"ADDISON","VT"
381566922,2012,44.4759,-73.2121,"CHITTENDEN","VT"
381600359,2012,44.4759,-73.2121,"CHITTENDEN","VT"
381657214,2012,44.6621,-73.124,"CHITTENDEN","VT"
381657214,2012,44.6621,-73.124,"CHITTENDEN","VT"
404814646,2012,43.4012,-72.4063,"WINDSOR","VT"
404894179,2012,44.4759,-73.2121,"CHITTENDEN","VT"
404966808,2012,44.4759,-73.2121,"CHITTENDEN","VT"
404966808,2012,44.4759,-73.2121,"CHITTENDEN","VT"
405072746,2012,44.3769,-72.7189,"WASHINGTON","VT"
405072943,2012,44.4654,-72.6874,"LAMOILLE","VT"
405073875,2012,44.467,-73.171,"CHITTENDEN","VT"
405073875,2012,44.4759,-73.2121,"CHITTENDEN","VT"
405073875,2012,44.467,-73.171,"CHITTENDEN","VT"
405076716,2012,44.4759,-73.2121,"CHITTENDEN","VT"
405077365,2012,44.0153,-73.1673,"ADDISON","VT"
405102769,2012,44.5439,-73.1479,"CHITTENDEN","VT"
405236675,2012,44.4905,-73.1112,"CHITTENDEN","VT"
405236675,2012,44.3292,-73.1107,"CHITTENDEN","VT"
405239458,2012,44.4759,-73.2121,"CHITTENDEN","VT"
405239898,2012,44.4759,-73.2121,"CHITTENDEN","VT"
405240998,2012,44.467,-73.171,"CHITTENDEN","VT"
405240998,2012,44.467,-73.171,"CHITTENDEN","VT"
405240998,2012,44.4759,-73.2121,"CHITTENDEN","VT"
405384605,2012,44.4759,-73.2121,"CHITTENDEN","VT"
405384956,2012,44.3292,-73.1107,"CHITTENDEN","VT"
405386445,2012,42.9304,-73.2426,"BENNINGTON","VT"
405386680,2012,43.9199,-72.4783,"ORANGE","VT"
405673464,2012,43.3466,-73.1773,"RUTLAND","VT"
405675890,2012,43.6106,-72.9726,"RUTLAND","VT"
405680093,2012,44.4759,-73.2121,"CHITTENDEN","VT"
405816626,2012,44.3806,-73.2276,"CHITTENDEN","VT"
405818555,2012,44.467,-73.171,"CHITTENDEN","VT"
405978820,2012,44.4759,-73.2121,"CHITTENDEN","VT"
405979396,2012,42.8781,-73.1968,"BENNINGTON","VT"
405980393,2012,44.4759,-73.2121,"CHITTENDEN","VT"
405983483,2012,44.4759,-73.2121,"CHITTENDEN","VT"
405984376,2012,44.4759,-73.2121,"CHITTENDEN","VT"
405984521,2012,44.4759,-73.2121,"CHITTENDEN","VT"
405984540,2012,44.4759,-73.2121,"CHITTENDEN","VT"
405984913,2012,44.4759,-73.2121,"CHITTENDEN","VT"
406147176,2012,44.4759,-73.2121,"CHITTENDEN","VT"
406147591,2012,44.4759,-73.2121,"CHITTENDEN","VT"
406147908,2012,44.4759,-73.2121,"CHITTENDEN","VT"
406148530,2012,44.4759,-73.2121,"CHITTENDEN","VT"
406148788,2012,44.4759,-73.2121,"CHITTENDEN","VT"
406310977,2012,44.4759,-73.2121,"CHITTENDEN","VT"
406311722,2012,44.8107,-73.0836,"FRANKLIN","VT"
406314968,2012,44.4759,-73.2121,"CHITTENDEN","VT"
406316488,2012,44.9181,-73.1243,"FRANKLIN","VT"
406465256,2012,44.467,-73.171,"CHITTENDEN","VT"
406605216,2012,44.4759,-73.2121,"CHITTENDEN","VT"
406608427,2012,44.4654,-72.6874,"LAMOILLE","VT"
406608427,2012,44.4654,-72.6874,"LAMOILLE","VT"
406608427,2012,44.4905,-73.1112,"CHITTENDEN","VT"
406608427,2012,44.467,-73.171,"CHITTENDEN","VT"
406608802,2012,44.4759,-73.2121,"CHITTENDEN","VT"
406608802,2012,44.4759,-73.2121,"CHITTENDEN","VT"
406608990,2012,44.467,-73.171,"CHITTENDEN","VT"
406611425,2012,44.1926,-72.7798,"WASHINGTON","VT"
406615874,2012,44.504,-72.9977,"CHITTENDEN","VT"
406615874,2012,44.5439,-73.1479,"CHITTENDEN","VT"
406806298,2012,44.4759,-73.2121,"CHITTENDEN","VT"
406807773,2012,44.4759,-73.2121,"CHITTENDEN","VT"
406808109,2012,44.997,-72.6713,"FRANKLIN","VT"
406808281,2012,44.4759,-73.2121,"CHITTENDEN","VT"
406817755,2012,44.4758,-73.2121,"CHITTENDEN","VT"
406900346,2012,44.4759,-73.2121,"CHITTENDEN","VT"
406997649,2012,44.4759,-73.2121,"CHITTENDEN","VT"
407019911,2012,44.0989,-73.1509,"ADDISON","VT"
407020345,2012,44.4948,-73.1793,"CHITTENDEN","VT"
407020345,2012,44.5022,-73.2601,"CHITTENDEN","VT"
407077643,2012,44.4905,-73.1112,"CHITTENDEN","VT"
407077643,2012,44.6453,-73.3024,"GRAND ISLE","VT"
407077643,2012,44.467,-73.171,"CHITTENDEN","VT"
