"state","year","county","precinct","total_votes","rep_votes","dem_votes"
"VT",2012,"ORLEANS","Morgan (Orleans 1)",340,162,175
"VT",2012,"LAMOILLE-WASHINGTON","Morristown (Lamoille-Washington",2499,1780,668
"VT",2012,"RUTLAND-WINDSOR","Mount Holly (Rutland-Windsor 2)",750,439,294
"VT",2012,"BENNINGTON-RUTLAND","Mount Tabor (Bennington-Rutland",83,50,32
"VT",2012,"ADDISON","New Haven (Addison 5)",987,653,323
"VT",2012,"ESSEX-CALEDONIA-ORLEAN","Newark (Essex-Caledonia-Orlean",301,168,111
"VT",2012,"ORANGE-CALEDONIA","Newbury (Orange-Caledonia )",1025,623,375
"VT",2012,"WINDHAM","Newfane (Windham 5)",962,732,200
"VT",2012,"ORLEANS","Newport City (Orleans 2)",1556,962,555
"VT",2012,"ORLEANS","Newport Town (Orleans 2)",691,405,270
"VT",2012,"GRAND ISLE-CHITTENDEN","North Hero (Grand Isle-Chittenden",572,312,249
"VT",2012,"WASHINGTON","Northfield (Washington 1)",2113,1378,685
"VT",2012,"ESSEX-CALEDONIA-ORLEANS","Norton (Essex-Caledonia-Orleans",94,45,44
"VT",2012,"WINDSOR-ORANGE","Norwich (Windsor-Orange 2)",2168,1839,293
"VT",2012,"ORANGE","Orange (Orange 1)",517,251,248
"VT",2012,"ADDISON-RUTLAND","Orwell (Addison-Rutland)",619,333,275
"VT",2012,"ADDISON","Panton (Addison 3)",336,208,122
"VT",2012,"RUTLAND-BENNINGTON","Pawlet (Rutland-Bennington)",734,461,254
"VT",2012,"CALEDONIA-WASHINGTON","Peacham (Caledonia-Washington",488,346,136
"VT",2012,"BENNINGTON-RUTLAND","Peru (Bennington-Rutland )",219,160,55
"VT",2012,"WINDSOR-RUTLAND","Pittsfield (Windsor-Rutland )",284,160,116
"VT",2012,"RUTLAND","Pittsford (Rutland 6)",1464,891,543
"VT",2012,"WASHINGTON","Plainfield (Washington 6)",663,509,118
"VT",2012,"WINDSOR","Plymouth (Windsor 5)",338,192,138
"VT",2012,"WINDSOR","Pomfret (Windsor 4-1)",602,431,161
"VT",2012,"RUTLAND","Poultney (Rutland 1)",1366,857,468
"VT",2012,"BENNINGTON","Pownal (Bennington 1)",1588,1047,507
"VT",2012,"RUTLAND","Proctor (Rutland 2)",802,498,294
"VT",2012,"WINDHAM","Putney (Windham 4)",1284,1064,188
"VT",2012,"ORANGE-WASHINGTON-A","Randolph (Orange-Washington-A",2132,1409,663
"VT",2012,"WINDSOR","Reading (Windsor 5)",376,259,102
"VT",2012,"WINDHAM-BENNINGTON","Readsboro (Windham-Bennington",359,223,122
"VT",2012,"FRANKLIN","Richford (Franklin 5)",767,497,257
"VT",2012,"CHITTENDEN-1","Richmond (Chittenden-1)",2419,1722,650
"VT",2012,"ADDISON","Ripton (Addison 2)",336,267,58
"VT",2012,"WINDSOR-RUTLAND","Rochester (Windsor-Rutland )",659,463,173
"VT",2012,"WINDHAM","Rockingham (Windham 3)",2119,1562,497
"VT",2012,"ORANGE-WASHINGTON-AD","Roxbury (Orange-Washington-Ad",336,228,91
"VT",2012,"WINDSOR-ORANGE","Royalton (Windsor-Orange 1)",1272,870,355
"VT",2012,"RUTLAND-BENNINGTON","Rupert (Rutland-Bennington)",383,238,137
"VT",2012,"RUTLAND","Rutland City (Rutland 5-1)",2132,1243,846
